split_id,train_start,train_end,test_start,test_end,final_return,sharpe,drawdown,turnover
1,2015-04-01,2022-02-01,2022-02-02,2024-02-08,0.34855936498043016,0.1011137217889622,0.0818930161725192,0.055486023785308224
2,2018-01-20,2024-02-08,2024-02-09,2026-02-14,0.5379981003688417,0.14343013522486628,0.10591533511307372,0.05514592446370403
