feature_name,correlation_mean,correlation_std,global_correlation,ic_mean,ic_std,stability_over_time,temporal_variance,distribution_shift,signal_score,rank
relative_return_1,0.15497551601696577,0.3383313093297291,0.18388232712979968,0.15497551601696577,0.3383313093297291,0.06181505647696507,0.9141526222229004,0.08115927409380674,0.15497551601696577,1
log_return_1,0.15288432389953155,0.3384862903122774,0.18154634872252423,0.15288432389953155,0.3384862903122774,0.06310784479258656,0.9112749099731445,0.08106858562678099,0.15288432389953155,2
rank_return_1,0.1517587578992301,0.32610437327371217,0.18212133203753594,0.1517587578992301,0.32610437327371217,0.05819775392312306,0.9687225818634033,0.01950610801577568,0.1517587578992301,3
vol_adjusted_return_1,0.1476139495181917,0.31094794283276944,0.17864143704295948,0.1476139495181917,0.31094794283276944,0.05943160131506714,0.8872199654579163,0.06958230584165959,0.1476139495181917,4
return_zscore_5,0.12675511898262712,0.30528319793511355,0.15339168359712552,0.12675511898262712,0.30528319793511355,0.056313929127874196,0.9099828004837036,0.00925689609721303,0.12675511898262712,5
breadth_above_sma50_pct,0.08474958312790956,0.5202497747002133,0.0011693639834410808,0.08474958312790956,0.5202497747002133,0.08402029949357999,0.8178890347480774,0.4785218480974436,0.08474958312790956,6
market_return,-0.07301168642924777,0.5265109595307351,-0.003249829173264084,-0.07301168642924777,0.5265109595307351,0.08573831818388475,0.6038782596588135,0.5189648754894733,0.07301168642924777,7
price_vs_sma20,0.06296781315873928,0.3495666474081962,0.06778223180002203,0.06296781315873928,0.3495666474081962,0.11932441708778596,0.8410257697105408,0.09982977109029889,0.06296781315873928,8
price_deviation_20,0.06296781315873928,0.3495666474081962,0.06778223180002203,0.06296781315873928,0.3495666474081962,0.11932441708778596,0.8410257697105408,0.09982977109029889,0.06296781315873928,9
RSI_14,0.05910589420933432,0.31672254546213147,0.06169053809656073,0.05910589420933432,0.31672254546213147,0.10500127744048482,0.8553867340087891,0.019133947789669037,0.05910589420933432,10
rolling_rank_mean_10,0.05488084393935436,0.3075024364235302,0.06504487070605622,0.05488084393935436,0.3075024364235302,0.09979232505895815,0.9597692489624023,0.01958679873496294,0.05488084393935436,11
